Column1;Column2;;;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
49;15-01-1900;1;1987;Spain;25.0;CD Málaga;Collided with an opponent on  December away to Celta de Vigo, underwent emergency surgery and returned home. Relapsed on  January with a cerebral haemorrhage and fell into an eight-day coma before dying.;0;0;0;0;1
50;23-01-1900;8;1987;Portugal;20.0;Atlético Clube de Portugal;Acute myocardial infarction during a friendly match between Atletico and the UAE's Al-Jazira Club.;0;0;0;0;0
51;09-01-1900;12;1987;Turkey;17.0;Galatasaray;Died from a heart attack in a training match in Florya.;1;0;0;0;0
52;07-01-1900;2;1989;Netherlands;27.0;Groningen;Collapsed at the moment he wanted to take a throw-in while playing against VV Hoogezand. He died of a heart attack.;1;0;1;0;0
53;12-01-1900;8;1989;Nigeria;24.0;Nigeria;Collapsed and died while playing against Angola in a World Cup Qualifier. An autopsy showed that the -year-old had an enlarged heart and high blood pressure.;1;0;1;0;0
54;08-01-1900;9;1990;England;25.0;York City;Heart attack on the pitch while playing against Lincoln City. He was pronounced dead on arrival at the hospital.;1;0;0;0;0
55;02-01-1900;2;1993;Germany;33.0;Bayer Uerdingen;Heart attack during a training session.;1;0;0;0;0
56;01-01-1900;9;1993;Hungary;35.0;MTK;The goalkeeper collapsed into a coma in the training session of Hungarian national team. After a week he died.;0;0;1;0;0
57;30-01-1900;4;1995;Greece;28.0;Atromitos F.C.;Received an elbow hit in the neck by an opponent player, during a match against Panelefsiniakos. He died before going to hospital.;0;0;0;0;0
58;25-01-1900;8;1995;Northern Ireland;;Dundela;Died during a game against Dungannon Swifts at Stangmore Park after being struck in the chest by the ball.;0;0;0;0;0
59;29-01-1900;10;1995;Nigeria;29.0;Julius Berger F.C.;Collapsed and died on the pitch of a heart attack.;1;0;1;0;0
60;04-01-1900;1;1997;Tunisia;24.0;Esperance Sportive de Tunis;Heart attack in a friendly game against Olympique Lyonnais at Stade Chedli Zouiten;1;0;0;0;0
61;04-01-1900;4;1997;Israel;23.0;Hapoel Taibe;Heart attack while playing against Bnei Yehuda.;1;0;0;0;0
62;18-01-1900;2;1998;Wales;40.0;Llanelli A.F.C.;Cardiomyopathy.;0;0;0;0;0
63;28-01-1900;4;1998;Germany;29.0;Carl Zeiss Jena;Died suddenly of a heart attack during training.;1;0;0;0;0
64;01-01-1900;1;1999;Romania;15.0;Nirajul Miercurea-Nirajului;Died after a crossbar fell on his head during a warmup.;0;0;0;0;0
65;24-01-1900;7;1999;Romania;23.0;Astra Ploieşti;Undetected heart defect that led to his collapse.;1;0;1;0;0
66;01-01-1900;1;2000;Romania;18.0;Caraimanul Buşteni;Died after an infection from a simple sprain, misdiagnosed by four different hospitals.;0;0;0;0;0
67;01-01-1900;2;2000;United Arab Emirates;17.0;Al-Wahda S.C.C.;Collapsed on the pitch and later died in hospital.;0;0;1;0;0
68;02-01-1900;4;2000;Indonesia;26.0;Persebaya Surabaya;Died in hospital due to heart failure after a game between Persebaya and PSIM Yogyakarta.;1;0;0;0;0
69;06-01-1900;5;2000;Poland;30.0;Raków Częstochowa;Died from a heart attack in his house's bathroom, at the same night when his team lost – to Polar Wrocław.;1;0;0;0;0
70;21-01-1900;5;2000;Algeria;24.0;JS Kabylie;Died in a hospital in Paris, France, from a fractured skull after clash of heads two days earlier;0;0;0;0;0
71;30-01-1900;5;2000;Federal Republic of Yugoslavia;19.0;Radnički Niš;Struck by lightning during a training session and was killed instantly.;0;0;0;1;0
72;05-01-1900;10;2000;Romania;24.0;Dinamo București;"Died while playing for Dinamo; In the th minute of a friendly game against Olteniţa, Hîldan had a heart attack, and fell to the ground. The North Stand of Dinamo's stadium is named in his honour.";1;0;0;0;0
73;14-01-1900;2;2001;Czech Republic;33.0;SK Uničov;Collapsed during physical training for his team and died from a heart condition.;1;0;1;0;0
74;29-01-1900;8;2001;Russia;23.0;CSKA Moscow;Injured in a collision with Budun Budunov who also sustained serious head trauma. He suffered a brain haemorrhage and died eight days later.;0;0;0;0;1
75;20-01-1900;11;2001;France;26.0;AS Cherbourg;Died during a training session at André-Picquenot Stadium in Tourlaville as a result of a heart attack.;1;0;0;0;0
76;20-01-1900;2;2002;Romania;21.0;Universitatea Craiova;Accidentally struck in the mandible by a teammate charging towards goal. Internal bleeding was discovered, before he died one week later.;0;0;0;0;0
77;01-01-1900;10;2002;Peru;28.0;Deportivo Wanka;Dos Santos suffered a heart attack after a game of his Peruvian club Deportivo Wanka, which scored a goal in the – win over Alianza Lima.;1;0;0;0;0
78;24-01-1900;10;2002;Colombia;32.0;Deportivo Cali;Struck by lightning during a training session, and was killed instantly.;0;0;0;1;0
79;27-01-1900;10;2002;Colombia;24.0;Deportivo Cali;Struck by the same lightning that killed Hernán Gaviria, and died three days later from the injuries.;0;0;0;1;0
80;12-01-1900;12;2002;North Macedonia;23.0;FK Napredok;Collapsed during a match and later died in a hospital.;0;0;1;0;0
81;09-01-1900;3;2003;Trinidad and Tobago;21.0;Trinidad and Tobago U20;Sustained neck and spinal injuries in a collision with Landon Donovan during the  CONCACAF U- Tournament on  March . Paralysed, he died two years later on  March .;0;0;0;0;1
82;26-01-1900;6;2003;Cameroon;28.0;Cameroon;Collapsed while playing in the  FIFA Confederations Cup semi-final between his country and Colombia, and died shortly afterward in hospital. An autopsy later revealed the cause of death was hypertrophic cardiomyopathy.;0;0;1;0;0
83;09-01-1900;8;2003;Malaysia;55.0;Malaysia and Penang;Suffered a heart attack and died on the field while playing in a charity football match in Singapore in .;1;0;0;0;0
84;25-01-1900;1;2004;Portugal;24.0;Benfica;Cardiac arrest caused by hypertrophic cardiomyopathy while playing against Vitória.;0;1;0;0;0
85;29-01-1900;2;2004;Guatemala;27.0;CSD Municipal;Torn pericardium during a match against CSD Comunicaciones when he collided with Mario Rafael Rodríguez. He died later in a hospital.;0;0;0;0;1
86;27-01-1900;10;2004;Brazil;30.0;São Caetano;Sudden cardiac death during a Campeonato Brasileiro Série A match against São Paulo. His death motivated a revamping of practices in medical assistance from clubs and stricter preventive measures in sports grounds in Brazil.;0;1;0;0;0
87;05-01-1900;12;2004;India;24.0;Dempo Sports Club;Collided with Mohun Bagan goalkeeper Subrata Paul in the th minute of the Federation Cup finals while scoring his second goal. He staggered away, then collapsed. Attempts to revive him were unsuccessful and he was pronounced dead upon arrival at Hosmat Hospital.;0;0;1;0;1
88;12-01-1900;4;2005;England;28.0;Folkestone Invicta;Collapsed on the pitch  minutes into the game against Margate F.C. in the Kent Senior Cup Semi-Final. An undiagnosed heart defect was identified as the cause of his death.;1;0;1;0;0
89;27-01-1900;5;2005;Romania;32.0;Minerul Mătăsari;Collapsed after heading a ball. Died of a heart attack.;1;0;1;0;0
90;25-01-1900;6;2005;Portugal;28.0;U.D. Leiria;Died suddenly from a cardiac arrest during a football match played with friends in Montemor-o-Novo.;0;1;0;0;0
91;11-01-1900;4;2006;Colombia;17.0;Envigado F.C.;Died suddenly during a training match. He had lost consciousness on the ground and his body had arrived lifeless to the hospital.;0;0;0;0;0
92;12-01-1900;6;2006;Denmark;26.0;Næstved BK;Heart attack during a training session and was, despite revival attempts from teammates and a doctor, declared dead upon arrival at the local hospital. The number  was afterwards retired in his honor.;1;0;0;0;0
93;10-01-1900;8;2006;Turkey;28.0;Elazığspor;Suffered a heart attack during training, he died before being taken to the hospital.;1;0;0;0;0
94;30-01-1900;8;2006;Egypt;23.0;Al Ahly;Died from undetected heart defect during a training match.;1;0;0;0;0
95;09-01-1900;9;2006;England;27.0;Hinckley United;Collapsed on the pitch during a Conference North game against Harrogate Town and died soon afterwards at Harrogate District Hospital. Medical tests revealed he died from a heart condition known as arrhythmogenic right ventricular cardiomyopathy.;1;0;1;0;0
96;18-01-1900;9;2006;Kazakhstan;30.0;FC Shakhter Karagandy;Collapsed on the pitch during a training session with his club and died in the ambulance on the way to the hospital. The Brazilian was a former top scorer and best player for the Kazakhstan Premier League.;0;0;1;0;0
97;27-01-1900;3;2007;Bosnia and Herzegovina;19.0;NK Široki Brijeg;Heart attack and died during a training match in Široki Brijeg, Bosnia and Herzegovina.;1;0;0;0;0
98;19-01-1900;8;2007;England;16.0;Walsall;Collapsed and died during youth team pre-season training. An inquest recorded a verdict of natural causes.;0;0;1;0;0
99;28-01-1900;8;2007;Spain;22.0;Sevilla FC;Collapsed during a match against Getafe C.F.. He died later in hospital after several cardiac arrests. Autopsy revealed arrhythmogenic right ventricular cardiomyopathy;0;1;1;0;0
100;29-01-1900;8;2007;Israel;28.0;Hapoel Be'er Sheva;Sudden heart failure during a training match against Maccabi Be'er Sheva.;1;0;0;0;0
101;29-01-1900;12;2007;Scotland;35.0;Motherwell;Collapsed during his team's – win against Dundee United with what was later confirmed as left ventricular failure. He died on the way to the hospital.;0;0;1;0;0
102;09-01-1900;2;2008;Gabon;22.0;FC 105 Libreville;Died shortly after a league game against Union Sportive O'Mbila. During the match, he collided with an opponent. He managed to finish the game, but collapsed shortly after and medics were unable to revive him.;0;0;1;0;1
103;16-01-1900;2;2008;England;27.0;Ringmer;Collapsed  minutes into a game against Three Bridges of an undetermined cause (heart attack suspected).;1;0;1;0;0
104;03-01-1900;4;2008;Croatia;24.0;NK Zadar;Collided with a concrete wall during a game against Cibalia and died in a hospital  days later of severe head injuries;0;0;0;0;1
105;31-01-1900;5;2008;Russia;34.0;Torpedo SDYuSShOR Kaluga;Felt ill during a game, died later that day in a hospital.;0;0;0;0;0
106;15-01-1900;3;2009;Indonesia;26.0;PKT Bontang;Collapsed after an incident with Denny Tarkas during the match of his club PKT Bontang against Persela Lamongan. Denny kicked Jumadi's stomach when he was trying to get the ball. Jumadi died in a hospital  days later of severe infection.;0;0;1;0;0
107;03-01-1900;4;2009;Paraguay;37.0;Villa Florida;Heart attack during a match against Salesianito. He died the next day.;1;0;0;0;0
108;26-01-1900;5;2009;Nigeria;28.0;Warri Wolves FC;Before an away match with Enugu Rangers, goalkeeper Adun of Warri Wolves FC, was assaulted by thugs suspected to be fans of the opposition team. Adun died  days later from internal haemorrhage, during a training session.;0;0;0;0;0
109;08-01-1900;8;2009;Spain;26.0;RCD Espanyol;Cardiac arrest following a training session.;0;1;0;0;0
110;02-01-1900;9;2009;Romania;19.0;Dunărea Giurgiu;The Romanian goalkeeper was hit in the abdominal area with a ball while trying to defend a penalty kick during team training. He continued his training but a few moments later he collapsed and died of cardiac arrest.;0;1;1;0;0
111;20-01-1900;9;2009;Angola;26.0;Progresso de Sambizanga;Died after collapsing during a second-division match between his club Progresso de Sambizanga and Benfica de Cabinda. He died later in a nearby hospital.;0;0;1;0;0
112;15-01-1900;11;2009;Germany;25.0;TuS Güldenstern Stade;Collapsed during the match of his club TuS Güldenstern Stade against Lupo Martini Wolfsburg at Campers Höhe and died later in the hospital.;0;0;1;0;0
113;18-01-1900;11;2009;United Arab Emirates;31.0;Al-Nasr;Died of a heart attack during a training session.;1;0;0;0;0
114;24-01-1900;1;2010;France;17.0;Arras Football;Collapsed during the match of his under- team club Arras Football against Etoile Sportive Anzin Saint Aubin and died later on a heart attack.;1;0;1;0;0
115;06-01-1900;3;2010;Sudan;25.0;Al-Merreikh;Collapsed during the match of his Sudanese club Al Merreikh against Alamal Atbara. He died in the ambulance. Autopsy report revealed that he suffered a circulatory collapse from a heart attack.;1;0;1;0;0
116;08-01-1900;3;2010;Ghana;19.0;Kessben F.C.;Collapsed the day before while playing against league side Liberty. He was quickly taken to hospital and is understood to have stabilized overnight. His death was announced the next day by his club.;0;0;1;0;0
117;09-01-1900;4;2010;Kazakhstan;28.0;Irtysh Pavlodar;Suffered a heart attack during the warmup prior to a Kazakhstan Premier League fixture against FC Kairat.;1;0;0;0;0
118;01-01-1900;5;2010;Croatia;32.0;Mladost FC;Heart attack during a th Division match. It was widely reported that Tunjić had been booked by the referee for diving, though such reports were later refuted by some sources.;1;0;0;0;0
119;02-01-1900;5;2010;Liberia;24.0;Invincible Eleven;Heart failure in a match against Mighty Barrolle. He came on as a substitute in the second half before collapsing in the center circle with no other players near him. He died shortly afterwards upon arrival to a hospital in Monrovia, Liberia.;1;0;1;0;0
120;08-01-1900;5;2010;Cambodia;22.0;Prek Pra Keila;Collapsed during a league match. He played in Metfone Cambodian League at National Olympic Stadium.;0;0;1;0;0
121;08-01-1900;5;2010;Brazil;26.0;Mesquita;Suffered cardiac arrest during a Carioca Championship match against Cabofriense and was pronounced dead on arrival at hospital.;0;1;0;0;0
122;18-01-1900;8;2010;England;22.0;Ilford F.C.;Collapsed during a league match. He played in the Isthmian Football League game from Ilford against Lowestoft Town FC.;0;0;1;0;0
123;12-01-1900;9;2010;Germany;30.0;SV 1920 Geinsheim [de];Collapsed during a league match at Queichhambach and could not be revived.;0;0;1;0;0
124;10-01-1900;11;2010;Benin;21.0;Cavaliers FC Parakou;Collapsed while playing in Benin.;0;0;1;0;0
125;12-01-1900;12;2010;Nigeria;21.0;Ocean Boys F.C.;Collapsed on the pitch while playing a league match, and died later in a hospital.;0;0;1;0;0
126;12-01-1900;4;2011;France;30.0;FC Beaumontois;Heart attack during a Ligue Midi-Pyrenees match.;1;0;0;0;0
127;04-01-1900;8;2011;Japan;34.0;Matsumoto Yamaga F.C.;"Collapsed during training on  August  due to a cardiac arrest after finishing a -minute warmup run, and doctors diagnosed his condition as ""extremely severe"". After two days, he died on  August.";0;1;1;0;0
128;13-01-1900;11;2011;Belgium;30.0;K. Merksem S.C.;Collapsed and died while playing a th tier match for K. Merksem S.C. against F.C. Exc. Kaart;0;0;1;0;0
129;21-01-1900;3;2012;India;27.0;Bangalore Mars;"Collapsed toward the end of the game; reports suggest cardiac arrest as the cause of death.";0;1;1;0;0
130;10-01-1900;4;2012;United States;29.0;University of New Mexico;Died of amyotrophic lateral sclerosis, after already having chronic traumatic encephalopathy.;0;0;0;0;0
131;14-01-1900;4;2012;Italy;25.0;Livorno;Collapsed during a Serie B game against Pescara. The cause of death was cardiac arrest.;0;1;1;0;0
132;05-01-1900;5;2012;Mauritania;;ASC Nasr Zem Zem;Collapsed twenty minutes into a game against FC Legwareb-FC Trarza in a Mauritanian Premier League match. Died on arrival at a hospital due to cardiac arrest. The game was postponed and replayed on  May, with Zem Zem winning –.;0;1;1;0;0
133;12-01-1900;6;2012;Cayman Islands;20.0;Bodden Town;Collapsed during a training session. The cause of death was determined to be hypertrophic cardiomyopathy.;0;0;1;0;0
134;07-01-1900;7;2012;Brazil;17.0;São Bernardo;Collapsed during an under- championship match against Portuguesa Santista and died having suffered cardiac arrest.;0;1;1;0;0
135;05-01-1900;8;2012;Romania;21.0;Delta Tulcea;Collapsed during a friendly game against CS Balotești in the th minute, after having been brought on for only  minutes. With the temperature being  °C, doctors tried reviving the Nigerian player for  minutes before declaring him dead. Supposedly, he underwent health tests a week before his death with no signs of problems detected. The cause was of his death was heart failure.;1;0;1;0;0
136;02-01-1900;9;2012;Sweden;29.0;Piteå IF;Collapsed shortly after scoring during a meeting in the Division , in which he suffered a cardiac arrest and died after arriving at hospital.;0;1;1;0;0
137;07-01-1900;10;2012;Poland;24.0;LKS Pomorzanin Nowogard;Collapsed from a heart attack in a league game against Iskierka Szczecin and died on the pitch.;1;0;1;0;0
138;20-01-1900;10;2012;Morocco;28.0;Hassania Agadir;Suffered a heart attack immediately after the end of a match.;1;0;0;0;0
139;02-01-1900;4;2013;France;25.0;USON Mondeville;Collapsed during a training session of his club USON Mondeville. The cause of death was cardiac arrest.;0;1;1;0;0
140;20-01-1900;4;2013;Germany;23.0;FSV Hemmersdorf;Collapsed during a Saarlandliga game against Saar  Saarbrücken. The cause of death was cardiac arrest.;0;1;1;0;0
141;16-01-1900;5;2013;Germany;31.0;SV Inter Itzehoe;Collapsed during a Kreisklasse A Steinburg game against ABC Wesseln. The cause of death was cardiac arrest.;0;1;1;0;0
142;17-01-1900;6;2013;Kuwait;32.0;Al-Sulaibikhat;In a non-official match played in May , Mohammed Fahad collided with another player, causing him a severe bleeding in the brain and coma until the dawn of  June , when he died.;0;0;0;0;1
143;21-01-1900;6;2013;Croatia;23.0;NK Istra 1961;Collapsed during a retreat game for MNK Maružini of a heart attack.;1;0;1;0;0
144;21-01-1900;7;2013;Peru;18.0;Sporting Cristal;The -year-old footballer from Sporting Cristal died during a reserve match against Real Garcilaso on  June . The autopsy determined he died from a cerebral edema with brain herniation caused by hypertrophic cardiomyopathy.;0;0;0;0;0
145;27-01-1900;7;2013;Indonesia;27.0;Pelita Bandung Raya;Collapsed on the field during his team's practice session in Bandung. He was rushed to the nearest hospital, but died on the way there. The cause of death was a heart attack.;1;0;1;0;0
146;30-01-1900;7;2013;Austria;19.0;SC Marchtrenk;Died in a friendly game against Union Steinhaus.;0;0;0;0;0
147;27-01-1900;8;2013;Argentina;27.0;Deportivo Laferrere;Suffered a heart attack in the th minute of a league match against General Lamadrid and died before reaching hospital.;1;0;0;0;0
148;17-01-1900;11;2013;Portugal;20.0;G.D. Tourizense;Cardiac arrest after seven minutes of the match between Tourizense and Carapinheirense.;0;1;0;0;0
149;23-01-1900;12;2013;Scotland;13.0;Tynecastle;Cardiac arrest during a game in the Saughton Park in Edinburgh.;0;1;0;0;0
150;28-01-1900;2;2014;Trinidad and Tobago;30.0;Defence Force;Died of a heart attack after feeling chest pains during a training session in the morning.;1;0;0;0;0
151;03-01-1900;5;2014;Australia;24.0;Bankstown City FC;Collapsed after  minutes of the National Premier League NSW Division Two match against Spirit FC.;0;0;1;0;0
152;19-01-1900;5;2014;Indonesia;27.0;Persiraja;Died after colliding with opposition goalkeeper during a match in the Indonesian Premier League. Fairuz was substituted and admitted to hospital but died due to internal bleeding the next day.;0;0;0;0;1
153;23-01-1900;8;2014;Algeria;24.0;JS Kabylie;Hit by a projectile while leaving the pitch. However a post-mortem examination showed he may have actually died from a severe beating.;0;0;0;0;0
154;03-01-1900;9;2014;Chile;23.0;Deportes Maipo Quilicura;Collapsed from cardiac arrest after  minutes of a friendly match against Palestino and could not be resuscitated.;0;1;1;0;0
155;19-01-1900;10;2014;England;15.0;Cadley FC;Collapsed on the field during a match against Euxton Girls. CPR and defibrillation was attempted at the scene but she was pronounced dead at the hospital.;0;0;1;0;0
156;19-01-1900;10;2014;India;23.0;Bethlehem Vengthlang;Died from spinal injuries that occurred as he landed awkwardly while celebrating a goal at  minutes against Chanmari West.;0;0;0;0;0
157;10-01-1900;11;2014;United Arab Emirates;;Abu Dhabi Police Force Team;The Nepalese born player and member of the Abu Dhabi Police's team died after collapsing during a match.;0;0;1;0;0
158;28-01-1900;3;2015;England;30.0;Stoke Gifford;While tackling during a league match against Mangotsfield Sports, the English footballer stumbled and fell backwards, hitting his head against the wall of Stoke Gifford's clubhouse. He died a few days later.;0;0;0;0;0
159;30-01-1900;4;2015;Belgium;24.0;Sporting Lokeren;Belgian footballer Gregory Mertens died of heart failure, three days after collapsing during a reserve team match against Genk, having never regained consciousness after receiving CPR during the first half.;1;0;1;0;0
160;11-01-1900;5;2015;Belgium;23.0;Beerschot-Wilrijk;Belgian footballer died of heart failure, only two weeks after Gregory Mertens, during a tournament game.;1;0;0;0;0
161;14-01-1900;5;2015;Argentina;21.0;San Martín de Burzaco;Argentine footballer dies after sustaining fatal head injury against a perimeter wall during a Primera C match. All football activities under the Argentine Football Association were suspended the following week, and cushioning protection was made mandatory for such structures.;0;0;0;0;0
162;24-01-1900;5;2015;Argentina;27.0;Club Atlético Paraná;Argentine footballer died of heart failure during a Primera B Nacional match.;1;0;0;0;0
163;31-01-1900;5;2015;Republic of Ireland;16.0;Belvedere;During a Dublin & District Schoolboy League game against St Kevin's Boys, Ayetigbo, a Nigerian-Irish footballer collapsed and died.;0;0;1;0;0
